size_fasta,min_len,max_gap,mismatches,cpp_timing,rust_timing
10000,2,0,0,0.026234999,0.01008498
10000,2,0,1,0.036060061,0.011661075
10000,2,1,0,0.049179691,0.013076729
10000,2,1,1,0.058268565,0.016739536
10000,2,2,0,0.056098164,0.014076536
10000,2,2,1,0.061846151,0.01812222
10000,2,3,0,0.053117146,0.015172752
10000,2,3,1,0.066423893,0.019006737
10000,2,4,0,0.055464896,0.014554344
10000,2,4,1,0.066689953,0.018043741
10000,2,5,0,0.061271303,0.015378532
10000,2,5,1,0.069251513,0.019361085
10000,4,0,0,0.017448143,0.008196828
10000,4,0,1,0.027640503,0.009968992
10000,4,0,2,0.034577577,0.012393342
10000,4,0,3,0.038304233,0.014368654
10000,4,1,0,0.028339891,0.010142481
10000,4,1,1,0.044201949,0.014524015
10000,4,1,2,0.055478435,0.017234924
10000,4,1,3,0.059052232,0.019750264
10000,4,2,0,0.030840991,0.010610938
10000,4,2,1,0.05201399,0.015191872
10000,4,2,2,0.063915083,0.018233
10000,4,2,3,0.068364096,0.020548011
10000,4,3,0,0.033312201,0.010861059
10000,4,3,1,0.052578947,0.016811825
10000,4,3,2,0.068461605,0.021267809
10000,4,3,3,0.069589602,0.022335383
10000,4,4,0,0.033391082,0.011313407
10000,4,4,1,0.055633104,0.017402424
10000,4,4,2,0.07503651,0.02086364
10000,4,4,3,0.074213273,0.0233896
10000,4,5,0,0.040997001,0.012521652
10000,4,5,1,0.067890148,0.018522479
10000,4,5,2,0.076545294,0.022123975
10000,4,5,3,0.084581684,0.024708845
10000,6,0,0,0.014385485,0.006770524
10000,6,0,1,0.024203686,0.010054981
10000,6,0,2,0.033366432,0.011730764
10000,6,0,3,0.039934607,0.014186035
10000,6,0,4,0.044497889,0.01537048
10000,6,0,5,0.047437037,0.017262773
10000,6,1,0,0.022102645,0.008245549
10000,6,1,1,0.038499291,0.012628891
10000,6,1,2,0.051391252,0.016519826
10000,6,1,3,0.05965985,0.019009607
10000,6,1,4,0.063773454,0.021611217
